Level,Severity,Offense Desc
H+,4,AGG ASLT ENHANC STRANGL/SUFFOC
H+,4,AGG ASLT STRANGLE/SUFFOCATE   
H+,4,AGG ASLT W/MOTOR VEH FAM/DAT V
H+,4,AGG ASSAULT                   
H+,4,AGG ASSAULT FAM/DATE VIOLENCE 
H+,4,AGG ASSAULT ON PUBLIC SERVANT 
H+,4,AGG ASSAULT WITH MOTOR VEH    
H+,6,AGG FORCED SODOMY             
H+,6,AGG FORCED SODOMY OF CHILD    
H+,6,AGG RAPE                      
H+,6,AGG RAPE OF A CHILD           
H+,5,AGG ROBBERY BY ASSAULT        
H+,5,AGG ROBBERY/DEADLY WEAPON     
H+,6,AGG SEXUAL ASSAULT CHILD/OBJEC
H+,6,AGG SEXUAL ASSAULT W OBJECT   
L,3,AUTO THEFT                    
L,1,BREACH OF COMPUTER SECURITY   
M,2,BURG NON RESIDENCE SHEDS      
H,4,BURG OF RES - SEXUAL NATURE   
M,2,BURGLARY NON RESIDENCE        
L,1,BURGLARY OF COIN-OP MACHINE   
M,2,BURGLARY OF RESIDENCE         
M,3,BURGLARY OF VEHICLE           
H+,7,CAPITAL MURDER                
H+,4,DEADLY CONDUCT                
H+,4,DEADLY CONDUCT FAM/DATE VIOL  
H+,6,FORCED SODOMY                 
H+,6,FORCED SODOMY OF CHILD        
H+,7,MANSLAUGHTER                  
M,3,MISAPPLY FIDUCIARY PROP       
H+,7,MURDER                        
L,1,POCKET PICKING                
L,1,PURSE SNATCHING               
H+,6,RAPE                          
H+,6,RAPE OF A CHILD               
H+,5,ROBBERY BY ASSAULT            
H+,5,ROBBERY BY THREAT             
H+,4,SERIOUS INJURY TO A CHILD     
H+,6,SEXUAL ASSAULT OF CHILD/OBJECT
H+,6,SEXUAL ASSAULT W/ OBJECT      
L,1,TAKE WEAPON FRM POLICE OFFICER
L,1,THEFT                         
L,1,THEFT BY SHOPLIFTING          
L,1,THEFT CATALYTIC CONVERTER     
L,1,THEFT FROM AUTO               
L,1,THEFT FROM BUILDING           
L,1,THEFT FROM PERSON             
L,1,THEFT OF AUTO PARTS           
L,1,THEFT OF BICYCLE              
L,1,THEFT OF HEAVY EQUIPMENT      
L,1,THEFT OF LICENSE PLATE        
L,1,THEFT OF METAL                
L,1,THEFT OF TRAILER              
L,1,THEFT/TILL TAPPING            
