zid,address,zipcode,alat,alon,valuation,value_change,value_range_high,value_range_low,sqft,lot_sqft,year_built,last_sold_date,last_sold_price
,11508 Carl Road,78747,,,,,,,,,,,
,11206 Lime Creek Road,78641,,,,,,,,,,,
83820301,2905 Etta James Cove,78613,30.48666,-97.863306,381218.0,381,400279,362157,2395,11194,2008.0,,
114405051,607 River Road,78734,30.344178,-97.928907,1340505.0,-26046,1608606,1139429,4500,42383,2012.0,,
60134868,15029 Donna Jane Loop,78660,30.43816,-97.656383,216662.0,1912,227495,205829,1745,4051,2002.0,,
,12700 Johnson Lane,78652,,,,,,,,,,,
70354229,13805 Abrahamson Court,78653,30.360686,-97.473507,139455.0,-4722,179897,108775,1288,501114,1980.0,,
29498621,8113 West Gate Boulevard,78745,30.197589,-97.828106,265041.0,-3015,283594,241187,940,12066,1984.0,,
29346558,4105 Aqua Verde Drive,78746,30.342889,-97.810038,658102.0,-9308,691007,625197,2383,21802,1983.0,,
144352111,10555 Maha Circle,78747,30.107525,-97.698309,264198.0,2091,290618,216642,1362,248410,1970.0,,
,4601 Fairview Drive,78731,,,,,,,,,,,
,200 Hillside Terrace Drive,78610,,,,,,,,,,,
29440641,2109 Red Stone Lane,78727,30.418454,-97.69619,250406.0,-11245,262926,237886,1359,7357,1976.0,,
,1157 Brinkley Drive,78613,,,,,,,,,,,
29345444,9 Glen Rock Drive,78738,30.341187,-97.984049,460645.0,-2983,483677,437613,2896,10802,1993.0,,
29613796,8333 Alvin High Lane,78729,30.460441,-97.761118,301375.0,-3682,316444,283292,1983,7840,1999.0,08/10/2016,
29358809,5300 Valburn Circle,78731,30.374096,-97.775259,995707.0,31149,1055449,916050,4376,20456,1979.0,,
29471589,11125 Maha Loop Road,78617,30.082419,-97.664366,228432.0,10668,253560,187314,1960,90648,1997.0,,
29352791,102 Javelin Drive,78734,30.360267,-97.998646,371823.0,1947,390414,353232,2088,15725,1979.0,,
,6401 1/2 RM 620,78730,,,,,,,,,,,
,1601 Green Pastures Drive,78725,,,,,,,,,,,
64884422,7220 Cielo Azul Pass,78726,30.41662,-97.874616,2373562.0,-100580,2492240,2231148,6060,549161,1997.0,,
29417097,2000 Brentwood Street,78757,30.340507,-97.734626,405910.0,-24311,426205,373437,1051,7240,1956.0,,
83820494,12220 Dwight Eisenhower Street,78653,30.354256,-97.526464,,,,,1512,202598,2009.0,,
144341633,1253 Dunlap Road South,78725,30.22287,-97.566622,353800.0,-2610,438712,307806,2550,43560,1995.0,,
,10746 Signal Hill Road,78737,,,,,,,,,,,
,10802 Darden Hill Road,78619,,,,,,,,,,,
,9408 Lime Creek Road,78641,,,,,,,,,,,
29329859,1518 Palma Plaza,78703,30.282597,-97.759718,950945.0,-1507,1036530,836832,2648,13764,1980.0,,
29458788,403 Academy Drive,78704,30.25157,-97.7444,727618.0,-5320,771275,683961,3476,21863,1950.0,,
89657079,322 Gold Star Drive,78613,30.520886,-97.790929,326838.0,-706,343180,310496,2736,,2012.0,,
,527 Graef Road,78640,,,,,,,,,,,
29512165,10308 Manchaca Road,78748,30.167892,-97.827473,830622.0,-21460,1137952,465148,1614,126237,1962.0,,
64905169,9438 Zyle Road,78737,30.201895,-97.936138,406770.0,6930,484056,345755,2128,132727,1993.0,,
64604989,4713 Mirador Drive,78735,30.260976,-97.869399,,,,,5891,122490,2004.0,,
,790 Mesa Drive,78617,,,,,,,,,,,
70332867,12405 Gun Metal Drive,78652,30.150896,-97.857849,478280.0,-5623,506977,444800,3642,14374,2003.0,06/23/2015,
111967826,1712 Cinnamon Path,78704,30.242114,-97.77598,466350.0,1641,489667,443033,2314,7013,1982.0,04/25/2014,
55291209,17407 Breakwater Drive,78645,30.442393,-97.936912,2926098.0,-24608,3130925,2340878,6721,113909,2001.0,,
,1811 Fleischer Drive,78728,,,,,,,,,,,
29383775,16905 Decker Creek Drive,78653,30.248605,-97.550027,246502.0,13830,268687,229247,1650,109553,1983.0,,
58310350,19828 Panther Drive,78660,30.482014,-97.592149,518212.0,-7102,642583,430116,3584,219542,1985.0,,
70352618,12812 Capella Trail,78732,30.363136,-97.908427,569756.0,-4487,598244,541268,3742,14984,2007.0,10/31/2016,
144978511,13512 Gregg Manor Road,78653,30.374486,-97.578787,,,,,,5149271,,,
88017703,900 Brighton Place,78665,30.526467,-97.642224,271781.0,3614,285370,258192,2610,,2007.0,,
,13385 Rector Loop,78653,,,,,,,,,,,
70323842,1428 Mount Larson Road,78746,30.303457,-97.792714,,,,,,56627,1986.0,,
2140377525,17701 Breakwater Drive,78645,30.442357,-97.941543,,,,,135210,,,,
29329022,1400 Lorrain Street,78703,30.280848,-97.755754,2206147.0,-99392,2492946,1919348,1100,,,,
,17123 Steger Lane,78653,,,,,,,,,,,
,1405 Cuernavaca Drive North,78733,,,,,,,,,,,
,874 Wooten Street,78613,,,,,,,,,,,
29372695,10531 Grand Oak Circle,78750,30.428063,-97.800195,672719.0,6940,766900,618901,4220,38289,1993.0,,
125803336,4140 Westlake Drive,78746,30.334474,-97.796351,,,,,,76230,,,
,14999 TX 71,78738,,,,,,,,,,,
,14958 Hamilton Pool Road,78738,,,,,,,,,,,
,9926 Hangar Drive,78742,,,,,,,,,,,
,1795 Mathias Lane,78640,,,,,,,,,,,
,211 Elm Forest Loop,78612,,,,,,,,,,,
29367490,5917 Taylor Draper Cove,78759,30.416679,-97.757561,446757.0,1208,469095,424419,2197,9447,1995.0,07/07/2017,475000
83830997,10305 Lava Lane,78747,30.122635,-97.732805,177606.0,10064,195367,159845,1209,43560,2000.0,02/26/2002,3000
29471860,11719 Schriber Road,78610,30.068848,-97.677038,,,,,984,465656,1990.0,,
144976046,13201 Old Kimbro Road,78653,30.35415,-97.494051,,,,,,5836604,,,
,1658 Courtney Lane,78613,,,,,,,,,,,
,12400 Mellow Meadows,78729,,,,,,,,,,,
64783442,12701 Johnson Road,78653,30.379243,-97.508738,376881.0,3437,437182,339193,2729,441655,2002.0,,
