tractCode,countyFips,stateFips
001765,453,48
001742,453,48
001840,453,48
001854,453,48
001728,453,48
001912,453,48
002432,453,48
001848,453,48
001773,453,48
020411,491,48
001705,453,48
002436,453,48
001771,453,48
001765,453,48
001505,453,48
002207,453,48
001605,453,48
001401,453,48
020317,491,48
001748,453,48
001733,453,48
001774,453,48
001304,453,48
001780,453,48
002207,453,48
001855,453,48
001760,453,48
021508,491,48
001782,453,48
002500,453,48
002432,453,48
001854,453,48
001918,453,48
002210,453,48
001773,453,48
001781,453,48
002411,453,48
001737,453,48
001733,453,48
002435,453,48
020510,491,48
002500,453,48
010809,209,48
002434,453,48
001856,453,48
001760,453,48
002436,453,48
001768,453,48
001858,453,48
001782,453,48
001913,453,48
002108,453,48
001908,453,48
002426,453,48
002109,453,48
001761,453,48
001774,453,48
002113,453,48
010901,209,48
010902,209,48
001733,453,48
001760,453,48
001765,453,48
001854,453,48
020311,491,48
001772,453,48
001854,453,48
001828,453,48
001784,453,48
001859,453,48
001777,453,48
002436,453,48
001861,453,48
001773,453,48
001821,453,48
001765,453,48
001826,453,48
002424,453,48
001778,453,48
020503,491,48
001769,453,48
001728,453,48
001856,453,48
001706,453,48
002209,453,48
002434,453,48
001841,453,48
010809,209,48
001853,453,48
001768,453,48
002432,453,48
002436,453,48
002209,453,48
001856,453,48
002435,453,48
001760,453,48
001778,453,48
001833,453,48
001307,453,48
001775,453,48
020409,491,48
001733,453,48
020603,491,48
002436,453,48
001742,453,48
002500,453,48
001741,453,48
001834,453,48
020409,491,48
002500,453,48
001760,453,48
001714,453,48
002436,453,48
002435,453,48
002209,453,48
020510,491,48
002202,453,48
001501,453,48
002434,453,48
002500,453,48
002434,453,48
001308,453,48
002432,453,48
001765,453,48
001858,453,48
001748,453,48
002212,453,48
020603,491,48
001913,453,48
001716,453,48
001839,453,48
001768,453,48
001858,453,48
001822,453,48
020602,491,48
001845,453,48
001845,453,48
001773,453,48
001812,453,48
002104,453,48
002407,453,48
001858,453,48
001858,453,48
000102,453,48
001504,453,48
001780,453,48
001768,453,48
001908,453,48
002209,453,48
950801,021,48
002210,453,48
001733,453,48
001780,453,48
002435,453,48
002210,453,48
002432,453,48
001822,453,48
002436,453,48
002318,453,48
001748,453,48
950100,021,48
020510,491,48
001769,453,48
001821,453,48
002423,453,48
001740,453,48
001784,453,48
001846,453,48
001768,453,48
001745,453,48
001766,453,48
002005,453,48
001855,453,48
002002,453,48
002113,453,48
001832,453,48
002209,453,48
001774,453,48
001775,453,48
002111,453,48
002435,453,48
002407,453,48
950300,021,48
002310,453,48
001741,453,48
002210,453,48
001738,453,48
010906,209,48
001748,453,48
001858,453,48
002209,453,48
001760,453,48
002312,453,48
001854,453,48
010809,209,48
000401,453,48
002432,453,48
001917,453,48
001773,453,48
020804,491,48
001737,453,48
001714,453,48
001784,453,48
001756,453,48
020510,491,48
001733,453,48
001742,453,48
020409,491,48
001748,453,48
002110,453,48
001855,453,48
001916,453,48
001768,453,48
002435,453,48
001773,453,48
950802,021,48
001818,453,48
001755,453,48
010809,209,48
001754,453,48
001774,453,48
002207,453,48
001783,453,48
001777,453,48
001834,453,48
002210,453,48
002107,453,48
001716,453,48
001784,453,48
001780,453,48
001733,453,48
002210,453,48
001773,453,48
001784,453,48
001841,453,48
001918,453,48
002207,453,48
001842,453,48
002207,453,48
001603,453,48
020409,491,48
002407,453,48
000102,453,48
002435,453,48
002435,453,48
001912,453,48
001858,453,48
001918,453,48
020320,491,48
002426,453,48
001817,453,48
002436,453,48
002210,453,48
001742,453,48
002429,453,48
001760,453,48
001714,453,48
001741,453,48
001857,453,48
001817,453,48
001841,453,48
001764,453,48
002207,453,48
002106,453,48
001741,453,48
001912,453,48
002207,453,48
001768,453,48
002436,453,48
020505,491,48
950300,021,48
002209,453,48
001916,453,48
020809,491,48
002436,453,48
