,Offense Desc,Offense Category,Address,lat,lng,Severity
0,AGG ASLT ENHANC STRANGL/SUFFOC,Agg Assault,8600 W SH 71 78735,30.2490582,-97.8921962,4
1,THEFT                         ,Theft,219 E 6TH ST 78701,30.2672438,-97.7408003,1
2,AGG ROBBERY/DEADLY WEAPON     ,Robbery,701 W LONGSPUR BLVD 78753,30.3666143,-97.6936139,5
3,THEFT                         ,Theft,404 COLORADO ST 78701,30.2670001,-97.7449168,1
4,SEXUAL ASSAULT W/ OBJECT      ,Rape,,37.2256055,-95.7162018,6
5,DEADLY CONDUCT                ,Agg Assault,8002 TAPO LN 78724,30.285173,-97.63864,4
6,ROBBERY BY ASSAULT            ,Robbery,1601 ROYAL CREST DR 78741,30.23917,-97.729152,5
7,AGG ASSAULT FAM/DATE VIOLENCE ,Agg Assault,1600 WICKERSHAM LN 78741,30.2364768,-97.718735,4
8,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,4009 VICTORY DR 78704,30.2349871,-97.789599,4
9,BURGLARY NON RESIDENCE        ,Burglary,811 W SLAUGHTER LN 78748,30.1734887,-97.8054776,2
10,BURGLARY OF RESIDENCE         ,Burglary,8930 GALEWOOD DR 78758,30.3666037,-97.716,2
11,AUTO THEFT                    ,Auto Theft,9619 POINT VISTA PL 78753,30.3568799,-97.6784131,3
12,AUTO THEFT                    ,Auto Theft,4323 S IH 35 SVRD NB 78744,30.2116006,-97.7524985,3
13,DEADLY CONDUCT                ,Agg Assault,5804 NEEDLE NOOK CT 78744,30.190235,-97.740054,4
14,BURGLARY OF RESIDENCE         ,Burglary,10800 RIVER PLANTATION DR 78747,30.1388921,-97.78238,2
15,BURGLARY OF RESIDENCE         ,Burglary,9409 BERNOULLI DR 78748,30.1844359,-97.8367741,2
16,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,1100 E OLTORF ST 78704,30.236505,-97.745043,4
17,AGG ASSAULT FAM/DATE VIOLENCE ,Agg Assault,5515 WOODROW AVE 78756,30.3272216,-97.733268,4
18,RAPE                          ,Rape,,37.2256055,-95.7162018,6
19,BURGLARY OF RESIDENCE         ,Burglary,4400 ANDALUSIA DR 78759,30.40636,-97.737957,2
20,BURGLARY OF RESIDENCE         ,Burglary,2338 WILSON ST 78704,30.241402,-97.7567078,2
21,BURGLARY OF RESIDENCE         ,Burglary,2041 ZACH SCOTT ST 78723,30.294001,-97.704018,2
22,BURGLARY NON RESIDENCE        ,Burglary,323 E 6TH ST 78701,30.2668798,-97.7397606,2
23,SEXUAL ASSAULT W/ OBJECT      ,Rape,,37.2256055,-95.7162018,6
24,BURGLARY OF RESIDENCE         ,Burglary,1119 ECHO LN 78745,30.1988299,-97.7967975,2
25,BURGLARY NON RESIDENCE        ,Burglary,10140 OLD SAN ANTONIO RD 78748,30.1541753,-97.7963728,2
26,BURGLARY NON RESIDENCE        ,Burglary,903 MONTOPOLIS DR 78741,30.235312,-97.6966368,2
27,BURGLARY NON RESIDENCE        ,Burglary,5100 ROADRUNNER LN 78749,30.2338353,-97.8332896,2
28,BURGLARY OF VEHICLE           ,Theft,119 E 10TH ST 78701,30.2713867,-97.7404983,3
29,THEFT BY SHOPLIFTING          ,Theft,3311 ESPERANZA XING 78758,30.3997611,-97.727002,1
30,BURGLARY OF VEHICLE           ,Theft,4749 E BEN WHITE BLVD SVRD EB 78744,30.2136425,-97.7302129,3
31,THEFT                         ,Theft,9300 S IH 35 SVRD SB 78748,30.165205,-97.7903534,1
32,AUTO THEFT                    ,Auto Theft,5200 BERYL OAK DR 78744,30.1936706,-97.737957,3
33,BURGLARY OF RESIDENCE         ,Burglary,5313 HARVEST LN 78745,30.2092839,-97.7775289,2
34,BURGLARY OF VEHICLE           ,Theft,1000 E 41ST ST 78751,30.2998354,-97.7199409,3
35,THEFT BY SHOPLIFTING          ,Theft,9500 S IH 35 SVRD SB 78748,30.164043,-97.7935432,1
36,THEFT                         ,Theft,9300 S IH 35 SVRD SB 78748,30.165205,-97.7903534,1
37,BURGLARY OF RESIDENCE         ,Burglary,7600 LADYBUG ST 78744,30.1685577,-97.7511133,2
38,AUTO THEFT                    ,Auto Theft,702 LAMAR PL 78752,30.331554,-97.721706,3
39,AGG ASSAULT FAM/DATE VIOLENCE ,Agg Assault,7020 GRAND CANYON DR 78752,30.3262645,-97.6956401,4
40,BURGLARY OF RESIDENCE         ,Burglary,1901 E ANDERSON LN SVRD EB 78752,30.3279594,-97.6799306,2
41,THEFT                         ,Theft,214 E 6TH ST 78701,30.2678099,-97.7406942,1
42,THEFT                         ,Theft,9300 S IH 35 SVRD SB 78748,30.165205,-97.7903534,1
43,AGG ASLT W/MOTOR VEH FAM/DAT V,Agg Assault,7032 WOOD HOLLOW DR 78731,30.3524311,-97.7542755,4
44,AUTO THEFT                    ,Auto Theft,5820 BERKMAN DR 78723,30.313017,-97.6940285,3
45,THEFT BY SHOPLIFTING          ,Theft,1030 NORWOOD PARK BLVD 78753,30.3393609,-97.6908244,1
46,THEFT OF LICENSE PLATE        ,Theft,12166 METRIC BLVD 78758,30.4068615,-97.699582,1
47,BURGLARY OF VEHICLE           ,Theft,1201 CLOVERLEAF DR 78723,30.3133315,-97.7042711,3
48,THEFT                         ,Theft,W 4TH ST / COLORADO ST 78701,30.2665678,-97.7448567,1
49,THEFT                         ,Theft,8010 N IH 35 SVRD SB 78753,30.342877,-97.6989667,1
50,THEFT                         ,Theft,406 E 6TH ST 78701,30.2671776,-97.7388906,1
51,BURGLARY OF VEHICLE           ,Theft,3200 S 1ST ST 78704,30.2337441,-97.7671287,3
52,THEFT                         ,Theft,605 DAVIS ST 78701,30.2598906,-97.7390392,1
53,BURGLARY OF VEHICLE           ,Theft,1034 CLAYTON LN 78723,30.319344,-97.7036072,3
54,THEFT                         ,Theft,6855 E US 290 HWY SVRD EB 78723,30.3204952,-97.6869081,1
55,THEFT                         ,Theft,10600 WATCHFUL FOX DR 78748,30.1577686,-97.8150624,1
56,BURGLARY OF VEHICLE           ,Theft,11901 N MOPAC EXPY SVRD NB 78758,30.4068735,-97.7187089,3
57,BURGLARY OF VEHICLE           ,Theft,12509 N LAMAR BLVD 78753,30.4093483,-97.6771517,3
58,THEFT                         ,Theft,9600 S IH 35 SVRD SB 78748,30.1587377,-97.7910009,1
59,BURGLARY OF VEHICLE           ,Theft,8500 N IH 35 SB 78753,30.3488199,-97.6949733,3
60,THEFT BY SHOPLIFTING          ,Theft,12901 N IH 35 SVRD NB 78753,30.4142111,-97.6711123,1
61,BURGLARY OF VEHICLE           ,Theft,127 E RIVERSIDE DR 78704,30.2555472,-97.7458293,3
62,BURGLARY OF VEHICLE           ,Theft,E 5TH ST / ONION ST 78702,30.2624883,-97.7279475,3
63,BURGLARY OF VEHICLE           ,Theft,EMBASSY DR / E 9TH ST 78702,30.2680681,-97.7319907,3
64,THEFT                         ,Theft,208 NUECES ST 78701,30.2667619,-97.7500735,1
65,BURGLARY OF VEHICLE           ,Theft,1000 E 41ST ST 78751,30.2998354,-97.7199409,3
66,BURGLARY OF VEHICLE           ,Theft,7210 PROVIDENCE AVE 78752,30.3304564,-97.6970609,3
67,THEFT FROM BUILDING           ,Theft,7622 N IH 35 SVRD SB 78752,30.3389542,-97.702056,1
68,BURGLARY OF VEHICLE           ,Theft,3909 N IH 35 NB 78722,30.2954608,-97.7177128,3
69,BURGLARY OF VEHICLE           ,Theft,809 E 9TH ST 78702,30.2681162,-97.7328649,3
70,BURGLARY OF VEHICLE           ,Theft,1000 E 41ST ST 78751,30.2998354,-97.7199409,3
71,THEFT                         ,Theft,2510 LEON ST 78705,30.2903058,-97.7495217,1
72,BURGLARY OF VEHICLE           ,Theft,1109 S PLEASANT VALLEY RD 78741,30.2404567,-97.715406,3
73,THEFT BY SHOPLIFTING          ,Theft,5300 S MOPAC EXPY SVRD SB 78749,30.2339236,-97.8288361,1
74,THEFT                         ,Theft,1149 CHICON ST 78702,30.2694502,-97.7187189,1
75,THEFT OF LICENSE PLATE        ,Theft,8140 BURNET RD 78757,30.361307,-97.7306372,1
76,BURGLARY OF VEHICLE           ,Theft,4103 N IH 35 SVRD NB 78722,30.2978654,-97.717103,3
77,THEFT                         ,Theft,401 E 6TH ST 78701,30.2667967,-97.7392726,1
78,BURGLARY OF VEHICLE           ,Theft,E 3RD ST / RED RIVER ST 78701,30.2636657,-97.7382321,3
79,BURGLARY OF VEHICLE           ,Theft,TRINITY ST / E 10TH ST 78701,30.2708104,-97.73795,3
80,BURGLARY OF VEHICLE           ,Theft,1405 E 34TH ST 78722,30.2901966,-97.7176757,3
81,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,1223 DELANO ST 78721,30.275064,-97.6782659,4
82,ROBBERY BY ASSAULT            ,Robbery,500 E ST JOHNS AVE 78752,30.3345038,-97.7062435,5
83,AGG ROBBERY/DEADLY WEAPON     ,Robbery,NORTHCREST BLVD / W ST JOHNS AVE 78752,30.3365997,-97.7119041,5
84,BURGLARY OF VEHICLE           ,Theft,W STASSNEY LN / EMERALD FOREST DR 78745,30.2107609,-97.7870472,3
85,AGG ROBBERY/DEADLY WEAPON     ,Robbery,7205 GUADALUPE ST 78752,30.3382849,-97.7138577,5
86,RAPE                          ,Rape,,37.2256055,-95.7162018,6
87,BURGLARY OF VEHICLE           ,Theft,834 W RUNDBERG LN 78758,30.3636763,-97.6980667,3
88,BURGLARY OF VEHICLE           ,Theft,8028 GESSNER DR 78753,30.3444962,-97.7020747,3
89,BURGLARY OF VEHICLE           ,Theft,7200 MAGENTA LN 78739,30.1876218,-97.9090099,3
90,AGG ASSAULT                   ,Agg Assault,W MARTIN LUTHER KING JR BLVD / NUECES ST 78705,30.2823635,-97.7441785,4
91,AGG ASSAULT FAM/DATE VIOLENCE ,Agg Assault,2425 CROMWELL CIR 78741,30.2256743,-97.7223381,4
92,AUTO THEFT                    ,Auto Theft,8906 GEORGIAN DR 78753,30.3564102,-97.6964671,3
93,THEFT                         ,Theft,7404 ONION CROSSING DR 78744,30.170867,-97.7523626,1
94,BURGLARY NON RESIDENCE        ,Burglary,4113 GUADALUPE ST 78751,30.3067606,-97.7353579,2
95,AUTO THEFT                    ,Auto Theft,10106 WOODSTOCK DR 78753,30.3621986,-97.6764521,3
96,THEFT BY SHOPLIFTING          ,Theft,9801 BRODIE LN 78748,30.1864978,-97.8468674,1
97,AUTO THEFT                    ,Auto Theft,6300 MONSANTO DR 78741,30.2392062,-97.6940285,3
98,ROBBERY BY ASSAULT            ,Robbery,12621 HYMEADOW DR 78729,30.4577424,-97.7903634,5
99,AGG ASSAULT FAM/DATE VIOLENCE ,Agg Assault,1604 PARKER LN 78741,30.2397569,-97.7323876,4
100,THEFT FROM AUTO               ,Theft,6600 S MOPAC EXPY SVRD SB 78749,30.2227877,-97.8362269,1
101,SEXUAL ASSAULT W/ OBJECT      ,Rape,,37.2256055,-95.7162018,6
102,THEFT BY SHOPLIFTING          ,Theft,11200 LAKELINE MALL DR 78613,30.4703854,-97.806965,1
103,AUTO THEFT                    ,Auto Theft,3106 DUVAL ST 78705,30.2935629,-97.733459,3
104,AGG ASSAULT                   ,Agg Assault,1730 BLOCK E OLTORF ST 78741,30.233737,-97.737663,4
105,AUTO THEFT                    ,Auto Theft,1812 ULIT AVE 78702,30.2809108,-97.7126275,3
106,BURGLARY OF RESIDENCE         ,Burglary,6201 VIDA NUEVA AVE 78617,30.1666652,-97.624406,2
107,THEFT BY SHOPLIFTING          ,Theft,9300 S IH 35 SVRD SB 78748,30.165205,-97.7903534,1
108,AGG ASSAULT FAM/DATE VIOLENCE ,Agg Assault,7100 N IH 35 SVRD SB 78752,30.332461,-97.705987,4
109,THEFT                         ,Theft,12351 N IH 35 SVRD NB 78753,30.4012279,-97.6729543,1
110,BURGLARY OF RESIDENCE         ,Burglary,7200 CREEKSIDE DR 78752,30.3239435,-97.6848687,2
111,BURGLARY NON RESIDENCE        ,Burglary,12835 POND SPRINGS RD 78729,30.4362087,-97.7691694,2
112,THEFT                         ,Theft,2901 S CAPITAL OF TEXAS HWY NB 78746,30.2573391,-97.8071883,1
113,THEFT                         ,Theft,9971 QUAIL BLVD 78758,30.3707505,-97.7007035,1
114,AUTO THEFT                    ,Auto Theft,2900 S 1ST ST 78704,30.2365615,-97.7637559,3
115,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,715 E 7TH ST 78701,30.2667142,-97.7351721,4
116,AUTO THEFT                    ,Auto Theft,1502 CINNAMON PATH 78704,30.2402451,-97.7738668,3
117,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,5616 ZACHARY SCOTT ST 78747,30.1395013,-97.7702156,4
118,BURGLARY OF RESIDENCE         ,Burglary,12151 N IH 35 SVRD NB 78753,30.394245,-97.6707073,2
119,THEFT                         ,Theft,1208 CEDAR AVE 78702,30.275548,-97.7133804,1
120,BURGLARY OF RESIDENCE         ,Burglary,5259 MEADOW CREEK DR 78745,30.2170342,-97.786775,2
121,BURGLARY OF RESIDENCE         ,Burglary,1840 BURTON DR 78741,30.2354864,-97.7297092,2
122,AUTO THEFT                    ,Auto Theft,1124 RUTLAND DR 78758,30.3693989,-97.7033852,3
123,THEFT BY SHOPLIFTING          ,Theft,2525 W ANDERSON LN 78757,30.3568601,-97.7352125,1
124,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,11310 JAMES HALLER DR 78748,30.1526581,-97.8278507,4
125,RAPE                          ,Rape,,37.2256055,-95.7162018,6
126,BURGLARY OF VEHICLE           ,Theft,7522 N IH 35 SB 78752,30.3382756,-97.7041728,3
127,BURGLARY OF VEHICLE           ,Theft,W 4TH ST / NUECES ST 78701,30.267779,-97.7491526,3
128,BURGLARY OF VEHICLE           ,Theft,2400 S CONGRESS AVE 78704,30.2386892,-97.7551668,3
129,BURGLARY OF VEHICLE           ,Theft,9218 BALCONES CLUB DR 78750,30.4419341,-97.7872372,3
130,BURGLARY OF VEHICLE           ,Theft,2400 S CONGRESS AVE 78704,30.2386892,-97.7551668,3
131,THEFT                         ,Theft,9200 BURNET RD 78758,30.375916,-97.7261637,1
132,THEFT                         ,Theft,6920 MANCHACA RD 78745,30.202377,-97.8083294,1
133,BURGLARY OF VEHICLE           ,Theft,306 E 10TH ST 78701,30.2711802,-97.7382329,3
134,THEFT                         ,Theft,3600 PRESIDENTIAL BLVD 78719,30.2038838,-97.666436,1
135,BURGLARY OF VEHICLE           ,Theft,1912 E WILLIAM CANNON DR 78744,30.1887531,-97.7650204,3
136,BURGLARY OF VEHICLE           ,Theft,8026 GESSNER DR 78753,30.3445111,-97.7022363,3
137,THEFT                         ,Theft,1700 S CONGRESS AVE 78704,30.2469514,-97.7510497,1
138,THEFT                         ,Theft,E 6TH ST / TRINITY ST 78701,30.267068,-97.739335,1
139,BURGLARY OF VEHICLE           ,Theft,7102 RED MAPLE CV 78759,30.4149703,-97.7729752,3
140,THEFT                         ,Theft,2216 THORNTON RD 78704,30.2465139,-97.7720199,1
141,THEFT                         ,Theft,12221 N MOPAC EXPY NB 78758,30.4121024,-97.7064124,1
142,BURGLARY OF VEHICLE           ,Theft,2250 E BEN WHITE BLVD SVRD WB 78741,30.2164819,-97.739088,3
143,THEFT OF LICENSE PLATE        ,Theft,W 6TH ST / N LAMAR BLVD 78703,30.2715396,-97.7539935,1
144,THEFT                         ,Theft,12345 LAMPLIGHT VILLAGE AVE 78758,30.4119356,-97.6945803,1
