tractCode,countyFips,stateFips
1765,453,48
1742,453,48
1840,453,48
1854,453,48
1728,453,48
1912,453,48
2432,453,48
1848,453,48
1773,453,48
20411,491,48
1705,453,48
2436,453,48
1771,453,48
1765,453,48
1505,453,48
2207,453,48
1605,453,48
1401,453,48
20317,491,48
1748,453,48
1733,453,48
1774,453,48
1304,453,48
1780,453,48
2207,453,48
1855,453,48
1760,453,48
21508,491,48
1782,453,48
2500,453,48
2432,453,48
1854,453,48
1918,453,48
2210,453,48
1773,453,48
1781,453,48
2411,453,48
1737,453,48
1733,453,48
2435,453,48
20510,491,48
2500,453,48
10809,209,48
2434,453,48
1856,453,48
1760,453,48
2436,453,48
1768,453,48
1858,453,48
1782,453,48
1913,453,48
2108,453,48
1908,453,48
2426,453,48
2109,453,48
1761,453,48
1774,453,48
2113,453,48
10901,209,48
10902,209,48
1733,453,48
1760,453,48
1765,453,48
1854,453,48
20311,491,48
1772,453,48
1854,453,48
1828,453,48
1784,453,48
1859,453,48
1777,453,48
2436,453,48
1861,453,48
1773,453,48
1821,453,48
1765,453,48
1826,453,48
2424,453,48
1778,453,48
20503,491,48
1769,453,48
1728,453,48
1856,453,48
1706,453,48
2209,453,48
2434,453,48
1841,453,48
10809,209,48
1853,453,48
1768,453,48
2432,453,48
2436,453,48
2209,453,48
1856,453,48
2435,453,48
1760,453,48
1778,453,48
1833,453,48
1307,453,48
1775,453,48
20409,491,48
1733,453,48
20603,491,48
2436,453,48
1742,453,48
2500,453,48
1741,453,48
1834,453,48
20409,491,48
2500,453,48
1760,453,48
1714,453,48
2436,453,48
2435,453,48
2209,453,48
20510,491,48
2202,453,48
1501,453,48
2434,453,48
2500,453,48
2434,453,48
1308,453,48
2432,453,48
1765,453,48
1858,453,48
1748,453,48
2212,453,48
20603,491,48
1913,453,48
1716,453,48
1839,453,48
1768,453,48
1858,453,48
1822,453,48
20602,491,48
1845,453,48
1845,453,48
1773,453,48
1812,453,48
2104,453,48
2407,453,48
1858,453,48
1858,453,48
102,453,48
1504,453,48
1780,453,48
1768,453,48
1908,453,48
2209,453,48
950801,21,48
2210,453,48
1733,453,48
1780,453,48
2435,453,48
2210,453,48
2432,453,48
1822,453,48
2436,453,48
2318,453,48
1748,453,48
950100,21,48
20510,491,48
1769,453,48
1821,453,48
2423,453,48
1740,453,48
1784,453,48
1846,453,48
1768,453,48
1745,453,48
1766,453,48
2005,453,48
1855,453,48
2002,453,48
2113,453,48
1832,453,48
2209,453,48
1774,453,48
1775,453,48
2111,453,48
2435,453,48
2407,453,48
950300,21,48
2310,453,48
1741,453,48
2210,453,48
1738,453,48
10906,209,48
1748,453,48
1858,453,48
2209,453,48
1760,453,48
2312,453,48
1854,453,48
10809,209,48
401,453,48
2432,453,48
1917,453,48
1773,453,48
20804,491,48
1737,453,48
1714,453,48
1784,453,48
1756,453,48
20510,491,48
1733,453,48
1742,453,48
20409,491,48
1748,453,48
2110,453,48
1855,453,48
1916,453,48
1768,453,48
2435,453,48
1773,453,48
950802,21,48
1818,453,48
1755,453,48
10809,209,48
1754,453,48
1774,453,48
2207,453,48
1783,453,48
1777,453,48
1834,453,48
2210,453,48
2107,453,48
1716,453,48
1784,453,48
1780,453,48
1733,453,48
2210,453,48
1773,453,48
1784,453,48
1841,453,48
1918,453,48
2207,453,48
1842,453,48
2207,453,48
1603,453,48
20409,491,48
2407,453,48
102,453,48
2435,453,48
2435,453,48
1912,453,48
1858,453,48
1918,453,48
20320,491,48
2426,453,48
1817,453,48
2436,453,48
2210,453,48
1742,453,48
2429,453,48
1760,453,48
1714,453,48
1741,453,48
1857,453,48
1817,453,48
1841,453,48
1764,453,48
2207,453,48
2106,453,48
1741,453,48
1912,453,48
2207,453,48
1768,453,48
2436,453,48
20505,491,48
950300,21,48
2209,453,48
1916,453,48
20809,491,48
2436,453,48
1848,453,48
1858,453,48
2432,453,48
1841,453,48
1740,453,48
1813,453,48
1768,453,48
2435,453,48
2209,453,48
1768,453,48
1857,453,48
102,453,48
1765,453,48
1765,453,48
1840,453,48
1769,453,48
1778,453,48
1913,453,48
1307,453,48
1771,453,48
1765,453,48
2426,453,48
2410,453,48
1305,453,48
1854,453,48
1745,453,48
1604,453,48
1858,453,48
1749,453,48
1855,453,48
