alat,alon,year_built
30.48666,-97.863306,2008
30.344178,-97.928907,2012
30.43816,-97.656383,2002
30.360686,-97.473507,1980
30.197589,-97.828106,1984
30.342889,-97.810038,1983
30.107525,-97.698309,1970
30.418454,-97.69619,1976
30.341187,-97.984049,1993
30.460441,-97.761118,1999
30.374096,-97.775259,1979
30.082419,-97.664366,1997
30.360267,-97.998646,1979
30.41662,-97.874616,1997
30.340507,-97.734626,1956
30.22287,-97.566622,1995
30.282597,-97.759718,1980
30.25157,-97.7444,1950
30.520886,-97.790929,2012
30.167892,-97.827473,1962
30.201895,-97.936138,1993
30.150896,-97.857849,2003
30.242114,-97.77598,1982
30.442393,-97.936912,2001
30.248605,-97.550027,1983
30.482014,-97.592149,1985
30.363136,-97.908427,2007
30.526467,-97.642224,2007
30.428063,-97.800195,1993
30.416679,-97.757561,1995
30.122635,-97.732805,2000
30.379243,-97.508738,2002
30.304669,-97.804143,1975
30.272878,-97.465506,1998
30.325966,-97.994969,2010
30.433343,-97.805793,1976
30.196212,-97.749343,1974
30.230108,-97.873572,1992
30.231526,-97.902662,2015
30.14137,-97.605647,1999
30.487015,-97.762408,1999
30.424702,-97.761513,1975
30.242031,-98.013379,1960
30.043481,-97.731288,1972
30.358221,-97.544131,2004
30.353855,-97.901546,2006
30.100517,-97.633985,1997
30.228595,-97.944544,2002
30.491376,-97.579979,1994
30.434561,-97.797364,1983
30.317802,-97.785319,1999
30.307005,-97.662965,1969
30.296454,-97.917115,2001
30.151836,-97.737882,2005
30.281868,-97.680627,1970
30.356611,-97.826757,1977
30.155409,-97.851394,1999
30.321213,-97.678712,1965
30.116677,-97.886274,1985
30.079142,-97.839185,
30.222492,-97.93371,2006
30.375562,-97.902388,2002
30.47211,-97.855542,2002
30.380431,-97.522848,1982
30.484543,-97.795501,2014
30.154372,-97.82707,2000
30.388275,-97.503637,1955
30.415177,-97.722098,1980
30.314017,-97.896431,2001
30.407528,-97.536172,2012
30.203132,-97.85215,2000
30.105269,-97.679548,1970
30.460506,-97.64203,1992
30.330992,-97.97825,2005
30.377924,-97.702183,1974
30.483423,-97.882794,1980
30.406633,-97.695707,1984
30.188366,-97.79844,2010
30.359757,-97.977363,1999
30.490701,-97.705277,1990
30.233019,-97.894034,1993
30.199179,-97.803962,1971
30.361849,-97.54993,2009
30.379642,-97.757069,1993
30.328223,-97.507707,1986
30.063327,-97.714443,1997
30.423237,-97.641259,2003
30.236453,-98.004138,1994
30.439805,-97.676659,1984
30.247939,-97.991176,1995
30.138627,-97.725617,1974
30.101807,-97.679032,1973
30.346984,-97.465034,2004
30.340269,-97.607802,1974
30.114289,-97.627506,1950
30.372079,-97.87796,2000
30.368717,-97.960113,2006
30.36624,-97.670015,1999
30.241795,-97.763891,1930
30.179531,-97.918222,2008
30.469671,-97.77003,2014
30.192974,-97.94134,1986
30.547307,-97.733272,2006
30.09334,-97.682424,2007
30.335784,-97.963851,2003
30.413898,-97.757756,1994
30.418081,-97.944796,1993
30.372774,-97.653121,2005
30.466063,-97.761643,2016
30.419921,-97.755832,1966
30.341566,-97.90929,2008
30.438328,-97.810442,1984
30.116346,-97.67958,1930
30.132658,-97.593266,1983
30.325122,-97.528921,2003
30.495069,-97.769043,2001
30.29937,-97.640539,1985
30.3375,-97.742008,1950
30.062951,-97.756852,2016
30.421674,-97.758291,1983
30.079349,-97.751428,1985
30.236226,-97.760744,1950
30.106782,-97.728461,1973
30.427832,-97.892225,1950
30.465385,-97.571644,2010
30.176059,-97.839972,1983
30.336266,-97.562819,2004
30.539524,-97.718911,2012
30.32148,-97.786464,2006
30.392492,-97.80279,1993
30.417733,-97.665326,2011
30.236451,-97.952955,1978
30.458595,-97.570808,1991
30.375583,-97.69379,1970
30.530979,-97.700458,1999
30.387624,-97.689416,1969
30.389935,-97.685762,1978
30.347444,-97.99083,1994
30.328033,-97.695152,1998
30.314663,-97.69848,1955
30.119864,-97.818382,1973
30.461658,-97.576933,2006
30.474712,-97.575426,1997
30.336404,-97.764175,1994
30.346496,-97.727407,1952
30.458828,-97.958742,2008
30.244141,-97.944024,1996
30.264616,-97.865864,2006
30.312933,-97.531317,2006
30.063737,-97.560917,1982
30.274126,-97.475191,1996
30.216766,-97.899739,1990
30.479711,-97.938157,2007
30.172783,-97.688677,1959
