zid,address,zipcode,alat,alon,valuation,value_change,value_range_high,value_range_low,sqft,value_sqft,lot_sqft,year_built,last_sold_date,last_sold_price
83820301.0,2905 Etta James Cove,78613,30.486659999999997,-97.86330600000001,381218.0,381.0,400279.0,362157.0,2395.0,159.17,11194.0,2008.0,,
114405051.0,607 River Road,78734,30.344178000000003,-97.928907,1340505.0,-26046.0,1608606.0,1139429.0,4500.0,297.89,42383.0,2012.0,,
60134868.0,15029 Donna Jane Loop,78660,30.438159999999996,-97.65638299999999,216662.0,1912.0,227495.0,205829.0,1745.0,124.16,4051.0,2002.0,,
70354229.0,13805 Abrahamson Court,78653,30.360685999999998,-97.473507,139455.0,-4722.0,179897.0,108775.0,1288.0,108.27,501114.0,1980.0,,
29498621.0,8113 West Gate Boulevard,78745,30.197589,-97.828106,265041.0,-3015.0,283594.0,241187.0,940.0,281.96,12066.0,1984.0,,
29346558.0,4105 Aqua Verde Drive,78746,30.342889000000003,-97.810038,658102.0,-9308.0,691007.0,625197.0,2383.0,276.17,21802.0,1983.0,,
144352111.0,10555 Maha Circle,78747,30.107525,-97.698309,264198.0,2091.0,290618.0,216642.0,1362.0,193.98,248410.0,1970.0,,
29440641.0,2109 Red Stone Lane,78727,30.418453999999997,-97.69619,250406.0,-11245.0,262926.0,237886.0,1359.0,184.26,7357.0,1976.0,,
29345444.0,9 Glen Rock Drive,78738,30.341186999999998,-97.984049,460645.0,-2983.0,483677.0,437613.0,2896.0,159.06,10802.0,1993.0,,
29613796.0,8333 Alvin High Lane,78729,30.460440999999996,-97.76111800000001,301375.0,-3682.0,316444.0,283292.0,1983.0,151.98,7840.0,1999.0,08/10/2016,
29358809.0,5300 Valburn Circle,78731,30.374096,-97.77525899999999,995707.0,31149.0,1055449.0,916050.0,4376.0,227.54,20456.0,1979.0,,
29471589.0,11125 Maha Loop Road,78617,30.082419,-97.664366,228432.0,10668.0,253560.0,187314.0,1960.0,116.55,90648.0,1997.0,,
29352791.0,102 Javelin Drive,78734,30.360266999999997,-97.998646,371823.0,1947.0,390414.0,353232.0,2088.0,178.08,15725.0,1979.0,,
64884422.0,7220 Cielo Azul Pass,78726,30.41662,-97.874616,2373562.0,-100580.0,2492240.0,2231148.0,6060.0,391.68,549161.0,1997.0,,
29417097.0,2000 Brentwood Street,78757,30.340507000000002,-97.734626,405910.0,-24311.0,426205.0,373437.0,1051.0,386.21,7240.0,1956.0,,
